id,entry_folio,inventory_id,catalog_id,part_number,quantity,available_quantity,is_fifo_layer_only,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reference_code,batch_no,notes,registered_by,movement_at,created_at
647,EMB-ENT-20260505-190916-724,406,406,EBR23966211,60,58,0,-1155,-1095,VF3_W_USA,NULL,LG,pending,SIN-UBICACION,EBR23966211,,QR: EBR23966211 | Qty registrada: 60,Sergio Torres,2026-05-05 13:09:14,2026-05-05 19:09:16
648,EMB-ENT-20260505-191233-639,236,236,EAD65948148,210,210,0,3048,3258,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 210,Sergio Torres,2026-05-05 13:12:32,2026-05-05 19:12:33
649,EMB-ENT-20260505-191755-309,391,391,EBR24212304,60,60,0,1940,2000,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212304,,QR: EBR24212304 | Qty registrada: 60,Sergio Torres,2026-05-05 13:17:54,2026-05-05 19:17:55
650,EMB-ENT-20260505-191810-340,392,392,EBR24212306,60,60,0,1889,1949,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 60,Sergio Torres,2026-05-05 13:18:09,2026-05-05 19:18:10
651,EMB-ENT-20260505-194527-618,74,74,EBR37437078,30,30,0,-595,-565,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 30,Sergio Torres,2026-05-05 13:45:26,2026-05-05 19:45:27
652,EMB-ENT-20260505-194546-145,3,3,EBR82230426,120,120,0,-208,-88,OMEGA 7,PCB,LG,pending,SIN-UBICACION,EBR82230426,,QR: EBR82230426 | Qty registrada: 120,Sergio Torres,2026-05-05 13:45:44,2026-05-05 19:45:46
653,EMB-ENT-20260505-194647-379,236,236,EAD65948148,60,60,0,3258,3318,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 60,Sergio Torres,2026-05-05 13:46:45,2026-05-05 19:46:47
654,EMB-ENT-20260505-194850-685,236,236,EAD65948148,30,30,0,3318,3348,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 30,Sergio Torres,2026-05-05 13:48:48,2026-05-05 19:48:50
655,EMB-ENT-20260505-204745-519,408,408,EBR23966213,120,120,0,-336,-216,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 120,Braulio Meza,2026-05-05 14:47:43,2026-05-05 20:47:45
656,EMB-ENT-20260505-211829-871,157,157,ABQ74229140,130,130,0,-252,-122,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,SIN-UBICACION,ABQ74229140,,QR: ABQ74229140 | Qty registrada: 130,Sergio Torres,2026-05-05 15:18:28,2026-05-05 21:18:29
657,EMB-ENT-20260505-211854-724,154,154,ABQ74229133,90,90,0,-289,-199,Mal Basic Disruptive Mexico,Case Display,LG,pending,SIN-UBICACION,ABQ74229133,,QR: ABQ74229133 | Qty registrada: 90,Sergio Torres,2026-05-05 15:18:52,2026-05-05 21:18:54
658,EMB-ENT-20260505-211921-941,154,154,ABQ74229133,180,180,0,-199,-19,Mal Basic Disruptive Mexico,Case Display,LG,pending,SIN-UBICACION,ABQ74229133,,QR: ABQ74229133 | Qty registrada: 180,Sergio Torres,2026-05-05 15:19:20,2026-05-05 21:19:21
659,EMB-ENT-20260505-212047-446,236,236,EAD65948148,80,80,0,3348,3428,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 80,Sergio Torres,2026-05-05 15:20:45,2026-05-05 21:20:47
660,EMB-ENT-20260505-215443-972,147,147,EBR83845048,60,60,0,-164,-104,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR83845048,,QR: EBR83845048 | Qty registrada: 60,Rubi Garcia,2026-05-05 15:54:41,2026-05-05 21:54:43
661,EMB-ENT-20260505-221908-337,405,405,EBR23966210,10,10,0,30,40,VF1_Better_B_DI_100V,PCB MAIN,LG,pending,SIN-UBICACION,EBR23966210,,QR: EBR23966210 | Qty registrada: 10,Rubi Garcia,2026-05-05 16:19:06,2026-05-05 22:19:08
662,EMB-ENT-20260505-221919-989,89,89,EBR80757438,19,10,0,1,20,pending,pending,LG,pending,SIN-UBICACION,EBR80757438,,QR: EBR80757438 | Qty registrada: 19,Rubi Garcia,2026-05-05 16:19:17,2026-05-05 22:19:19
663,EMB-ENT-20260505-224626-298,133,133,ABQ75822467,100,100,0,-1651,-1551,RAPTOR,Case Display,LG,pending,SIN-UBICACION,ABQ75822467,,QR: ABQ75822467 | Qty registrada: 100,Rubi Garcia,2026-05-05 16:46:23,2026-05-05 22:46:26
664,EMB-ENT-20260505-231438-905,147,147,EBR83845048,113,113,0,-164,-51,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR83845048,,QR: EBR83845048 | Qty registrada: 120,Rubi Garcia,2026-05-05 17:14:35,2026-05-05 23:14:38
665,EMB-ENT-20260505-231655-482,75,75,EBR37437079,80,80,0,-447,-367,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 80,Rubi Garcia,2026-05-05 17:16:52,2026-05-05 23:16:55
671,EMB-ENT-20260505-231953-433,147,147,EBR83845048,60,60,0,-51,9,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR83845048,,QR: EBR83845048 | Qty registrada: 60,Rubi Garcia,2026-05-05 17:19:51,2026-05-05 23:19:54
672,EMB-ENT-20260505-232006-717,408,408,EBR23966213,60,60,0,-336,-276,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 60,Rubi Garcia,2026-05-05 17:20:04,2026-05-05 23:20:06
673,EMB-ENT-20260505-232047-760,74,74,EBR37437078,64,64,0,-595,-531,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 64,Rubi Garcia,2026-05-05 17:20:44,2026-05-05 23:20:47
674,EMB-ENT-20260506-001621-899,299,299,EBR41039152,100,54,0,-46,54,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR41039152,,QR: EBR41039152 | Qty registrada: 100,Sergio Torres,2026-05-05 18:16:20,2026-05-06 00:16:21
675,EMB-ENT-20260506-010135-943,299,299,EBR41039152,50,4,0,-46,4,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR41039152,,QR: EBR41039152 | Qty registrada: 50,Sergio Torres,2026-05-05 19:01:34,2026-05-06 01:01:35
676,EMB-ENT-20260506-011904-104,407,407,EBR23966212,60,60,0,-247,-187,VF3_Better_L_USA,NULL,LG,pending,SIN-UBICACION,EBR23966212,,QR: EBR23966212 | Qty registrada: 60,Rubi Garcia,2026-05-05 19:19:01,2026-05-06 01:19:04
677,EMB-ENT-20260506-012627-901,18,18,EBR30299363,240,240,0,-581,-341,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299363,,QR: EBR30299363 | Qty registrada: 240,Sergio Torres,2026-05-05 19:26:25,2026-05-06 01:26:27
678,EMB-ENT-20260506-013321-789,147,147,EBR83845048,180,29,0,-151,29,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR83845048,,QR: EBR83845048 | Qty registrada: 180,Sergio Torres,2026-05-05 19:33:20,2026-05-06 01:33:21
679,EMB-ENT-20260506-133045-188,407,407,EBR23966212,50,50,0,-247,-197,VF3_Better_L_USA,NULL,LG,pending,SIN-UBICACION,EBR23966212,,QR: EBR23966212 | Qty registrada: 50,Braulio Meza,2026-05-06 07:30:42,2026-05-06 13:30:45
680,EMB-ENT-20260506-134145-345,406,406,EBR23966211,30,26,0,-1174,-1144,VF3_W_USA,NULL,LG,pending,SIN-UBICACION,EBR23966211,,QR: EBR23966211 | Qty registrada: 30,Braulio Meza,2026-05-06 07:41:43,2026-05-06 13:41:46
681,EMB-ENT-20260506-134309-228,407,407,EBR23966212,103,103,0,-197,-94,VF3_Better_L_USA,NULL,LG,pending,SIN-UBICACION,EBR23966212,,QR: EBR23966212 | Qty registrada: 103,Braulio Meza,2026-05-06 07:43:07,2026-05-06 13:43:09
682,EMB-ENT-20260506-134318-258,408,408,EBR23966213,103,103,0,-396,-293,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 103,Braulio Meza,2026-05-06 07:43:16,2026-05-06 13:43:19
683,EMB-ENT-20260506-134805-627,133,133,ABQ75822467,300,300,0,-1631,-1331,RAPTOR,Case Display,LG,pending,SIN-UBICACION,ABQ75822467,,QR: ABQ75822467 | Qty registrada: 300,Rubi Garcia,2026-05-06 07:48:04,2026-05-06 13:48:05
684,EMB-ENT-20260506-135333-924,74,74,EBR37437078,70,70,0,-591,-521,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 70,Braulio Meza,2026-05-06 07:53:31,2026-05-06 13:53:33
685,EMB-ENT-20260506-135345-941,88,88,EBR80757432,120,120,0,-536,-416,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 120,Braulio Meza,2026-05-06 07:53:42,2026-05-06 13:53:45
686,EMB-ENT-20260506-135356-681,75,75,EBR37437079,118,118,0,-447,-329,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 118,Braulio Meza,2026-05-06 07:53:53,2026-05-06 13:53:56
687,EMB-ENT-20260506-140644-108,18,18,EBR30299363,140,140,0,-501,-361,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299363,,QR: EBR30299363 | Qty registrada: 140,Braulio Meza,2026-05-06 08:06:41,2026-05-06 14:06:44
688,EMB-ENT-20260506-143444-723,407,407,EBR23966212,60,60,0,-274,-214,VF3_Better_L_USA,NULL,LG,pending,SIN-UBICACION,EBR23966212,,QR: EBR23966212 | Qty registrada: 60,Braulio Meza,2026-05-06 08:34:42,2026-05-06 14:34:44
689,EMB-ENT-20260506-144609-770,88,88,EBR80757432,100,100,0,-636,-536,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 100,Braulio Meza,2026-05-06 08:46:06,2026-05-06 14:46:09
691,EMB-LYR-13,142,142,ABQ30226610,68,68,1,0,68,pending,pending,LG,pending,,RETORNO:EMB-RET-20260504-174321-239,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:43:21,2026-05-06 14:47:14
692,EMB-ENT-20260506-144927-854,88,88,EBR80757432,106,106,0,-536,-430,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 106,Rubi Garcia,2026-05-06 08:49:27,2026-05-06 14:49:27
693,EMB-ENT-20260506-145215-467,88,88,EBR80757432,120,120,0,-536,-416,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 120,Rubi Garcia,2026-05-06 08:52:14,2026-05-06 14:52:15
694,EMB-ENT-20260506-145614-220,88,88,EBR80757432,42,42,0,-416,-374,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 42,Rubi Garcia,2026-05-06 08:56:13,2026-05-06 14:56:14
695,EMB-ENT-20260506-150016-596,274,274,EAD00576611,180,173,0,203,383,pending,pending,LG,pending,SIN-UBICACION,EAD00576611,,QR: EAD00576611 | Qty registrada: 180,Sergio Torres,2026-05-06 09:00:14,2026-05-06 15:00:16
696,EMB-ENT-20260506-150802-238,157,157,ABQ74229140,120,120,0,-132,-12,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,SIN-UBICACION,ABQ74229140,,QR: ABQ74229140 | Qty registrada: 120,Sergio Torres,2026-05-06 09:08:00,2026-05-06 15:08:02
697,EMB-ENT-20260506-150848-424,133,133,ABQ75822467,106,106,0,-1571,-1465,RAPTOR,Case Display,LG,pending,SIN-UBICACION,ABQ75822467,,QR: ABQ75822467 | Qty registrada: 106,Sergio Torres,2026-05-06 09:08:46,2026-05-06 15:08:48
698,EMB-ENT-20260506-151119-342,88,88,EBR80757432,200,200,0,-534,-334,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 200,Rubi Garcia,2026-05-06 09:11:18,2026-05-06 15:11:19
699,EMB-LYR-31,157,157,ABQ74229140,46,46,1,0,46,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,RETORNO:EMB-RET-20260504-174930-375,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 17:49:30,2026-05-06 15:23:23
700,EMB-LYR-71,157,157,ABQ74229140,2,2,1,0,2,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,RETORNO:EMB-RET-20260504-184726-904,,Capa FIFO generada por retorno,Rubi Garcia,2026-05-04 18:47:26,2026-05-06 15:23:23
701,EMB-ENT-20260506-154119-216,75,75,EBR37437079,95,95,0,-447,-352,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 95,Braulio Meza,2026-05-06 09:41:16,2026-05-06 15:41:19
702,EMB-ENT-20260506-154152-889,74,74,EBR37437078,44,44,0,-541,-497,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 44,Braulio Meza,2026-05-06 09:41:49,2026-05-06 15:41:52
703,EMB-ENT-20260506-154216-921,88,88,EBR80757432,346,346,0,-534,-188,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 346,Braulio Meza,2026-05-06 09:42:13,2026-05-06 15:42:16
704,EMB-ENT-20260506-154439-263,274,274,EAD00576611,120,120,0,383,503,pending,pending,LG,pending,SIN-UBICACION,EAD00576611,,QR: EAD00576611 | Qty registrada: 120,Sergio Torres,2026-05-06 09:44:37,2026-05-06 15:44:39
706,EMB-ENT-20260506-160513-355,157,157,ABQ74229140,60,48,0,-12,48,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,SIN-UBICACION,ABQ74229140,,QR: ABQ74229140 | Qty registrada: 60,Sergio Torres,2026-05-06 10:05:12,2026-05-06 16:05:13
707,EMB-ENT-20260506-161758-658,392,392,EBR24212306,80,80,0,1949,2029,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 80,Braulio Meza,2026-05-06 10:17:55,2026-05-06 16:17:58
708,EMB-ENT-20260506-162452-121,391,391,EBR24212304,100,100,0,1680,1780,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212304,,QR: EBR24212304 | Qty registrada: 100,Braulio Meza,2026-05-06 10:24:49,2026-05-06 16:24:52
709,EMB-ENT-20260506-162502-208,392,392,EBR24212306,60,60,0,2029,2089,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 60,Braulio Meza,2026-05-06 10:25:00,2026-05-06 16:25:02
710,EMB-ENT-20260506-162820-345,274,274,EAD00576611,60,60,0,503,563,pending,pending,LG,pending,SIN-UBICACION,EAD00576611,,QR: EAD00576611 | Qty registrada: 60,Sergio Torres,2026-05-06 10:28:19,2026-05-06 16:28:20
711,EMB-ENT-20260506-163242-733,408,408,EBR23966213,60,60,0,-395,-335,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 60,Braulio Meza,2026-05-06 10:32:39,2026-05-06 16:32:42
712,EMB-ENT-20260506-163251-694,299,299,EBR41039152,80,44,0,-36,44,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR41039152,,QR: EBR41039152 | Qty registrada: 80,Braulio Meza,2026-05-06 10:32:49,2026-05-06 16:32:51
713,EMB-ENT-20260506-163305-285,88,88,EBR80757432,240,240,0,-188,52,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 240,Braulio Meza,2026-05-06 10:33:03,2026-05-06 16:33:05
714,EMB-ENT-20260506-164624-492,408,408,EBR23966213,60,60,0,-335,-275,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 60,Braulio Meza,2026-05-06 10:46:21,2026-05-06 16:46:24
715,EMB-ENT-20260506-164650-669,142,142,ABQ30226610,120,120,0,-832,-712,pending,pending,LG,pending,SIN-UBICACION,ABQ30226610,,QR: ABQ30226610 | Qty registrada: 120,Braulio Meza,2026-05-06 10:46:47,2026-05-06 16:46:50
716,EMB-ENT-20260506-164716-337,406,406,EBR23966211,340,340,0,-1174,-834,VF3_W_USA,NULL,LG,pending,SIN-UBICACION,EBR23966211,,QR: EBR23966211 | Qty registrada: 340,Sergio Torres,2026-05-06 10:47:15,2026-05-06 16:47:16
717,EMB-ENT-20260506-165934-977,18,18,EBR30299363,114,114,0,-541,-427,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299363,,QR: EBR30299363 | Qty registrada: 114,Rubi Garcia,2026-05-06 10:59:32,2026-05-06 16:59:34
719,EMB-ENT-20260506-170323-209,277,277,EAD00576613,90,8,0,20,110,pending,pending,LG,pending,SIN-UBICACION,EAD00576613,,QR: EAD00576613 | Qty registrada: 90,Sergio Torres,2026-05-06 11:03:22,2026-05-06 17:03:23
720,EMB-ENT-20260506-170438-195,277,277,EAD00576613,15,15,0,110,125,pending,pending,LG,pending,SIN-UBICACION,EAD00576613,,QR: EAD00576613 | Qty registrada: 15,Sergio Torres,2026-05-06 11:04:36,2026-05-06 17:04:38
721,EMB-ENT-20260506-173745-117,84,84,EBR80757421,120,120,0,-657,-537,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 120,Braulio Meza,2026-05-06 11:37:42,2026-05-06 17:37:45
722,EMB-ENT-20260506-173819-842,88,88,EBR80757432,600,600,0,-528,72,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 600,Braulio Meza,2026-05-06 11:38:16,2026-05-06 17:38:19
723,EMB-ENT-20260506-174313-740,84,84,EBR80757421,310,310,0,-537,-227,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 310,Braulio Meza,2026-05-06 11:43:10,2026-05-06 17:43:13
724,EMB-ENT-20260506-174519-924,88,88,EBR80757432,120,120,0,72,192,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 120,Braulio Meza,2026-05-06 11:45:16,2026-05-06 17:45:19
725,EMB-ENT-20260506-175321-581,350,350,ACQ30500853,240,240,0,-448,-208,pending,pending,LG,pending,SIN-UBICACION,ACQ30500853,,QR: ACQ30500853 | Qty registrada: 240,Braulio Meza,2026-05-06 11:53:19,2026-05-06 17:53:21
726,EMB-ENT-20260506-182919-217,317,317,ACQ30372826,238,238,0,-1131,-893,VS,Display,LG,pending,SIN-UBICACION,ACQ30372826,,QR: ACQ30372826 | Qty registrada: 240,Rubi Garcia,2026-05-06 12:29:18,2026-05-06 18:29:19
727,EMB-ENT-20260506-182930-430,350,350,ACQ30500853,240,240,0,-448,-208,pending,pending,LG,pending,SIN-UBICACION,ACQ30500853,,QR: ACQ30500853 | Qty registrada: 240,Rubi Garcia,2026-05-06 12:29:30,2026-05-06 18:29:30
728,EMB-ENT-20260506-182944-607,75,75,EBR37437079,120,120,0,-447,-327,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 120,Rubi Garcia,2026-05-06 12:29:44,2026-05-06 18:29:44
729,EMB-ENT-20260506-184544-388,126,126,ABQ75822454,241,241,0,-200,41,RAPTOR,Case Display,LG,pending,SIN-UBICACION,ABQ75822454,,QR: ABQ75822454 | Qty registrada: 241,Rubi Garcia,2026-05-06 12:45:43,2026-05-06 18:45:44
730,EMB-ENT-20260506-190955-826,238,238,EAD65948149,35,35,0,0,35,pending,pending,LG,pending,SIN-UBICACION,EAD65948149,,QR: EAD65948149 | Qty registrada: 35,Sergio Torres,2026-05-06 13:09:52,2026-05-06 19:09:55
731,EMB-ENT-20260506-191158-574,274,274,EAD00576611,90,90,0,563,653,pending,pending,LG,pending,SIN-UBICACION,EAD00576611,,QR: EAD00576611 | Qty registrada: 90,Sergio Torres,2026-05-06 13:11:57,2026-05-06 19:11:58
732,EMB-ENT-20260506-191538-469,408,408,EBR23966213,60,60,0,-395,-335,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 60,Braulio Meza,2026-05-06 13:15:35,2026-05-06 19:15:38
733,EMB-ENT-20260506-191557-161,75,75,EBR37437079,40,40,0,-327,-287,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 40,Braulio Meza,2026-05-06 13:15:54,2026-05-06 19:15:57
734,EMB-ENT-20260506-192240-621,75,75,EBR37437079,180,180,0,-287,-107,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 180,Braulio Meza,2026-05-06 13:22:37,2026-05-06 19:22:40
735,EMB-ENT-20260506-195340-946,391,391,EBR24212304,80,80,0,1500,1580,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212304,,QR: EBR24212304 | Qty registrada: 80,Sergio Torres,2026-05-06 13:53:39,2026-05-06 19:53:40
736,EMB-ENT-20260506-195350-877,392,392,EBR24212306,15,15,0,1914,1929,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 15,Sergio Torres,2026-05-06 13:53:49,2026-05-06 19:53:50
739,EMB-ENT-20260506-200102-583,236,236,EAD65948148,210,210,0,2648,2858,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 210,Sergio Torres,2026-05-06 14:01:00,2026-05-06 20:01:02
740,EMB-ENT-20260506-200217-835,299,299,EBR41039152,48,12,0,-36,12,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR41039152,,QR: EBR41039152 | Qty registrada: 48,Braulio Meza,2026-05-06 14:02:15,2026-05-06 20:02:17
747,EMB-ENT-20260506-200440-219,346,346,ACQ30500842,80,80,0,20,100,pending,pending,LG,pending,SIN-UBICACION,ACQ30500842,,QR: ACQ30500842 | Qty registrada: 80,Sergio Torres,2026-05-06 14:04:38,2026-05-06 20:04:40
749,EMB-ENT-20260506-200456-625,350,350,ACQ30500853,160,160,0,-448,-288,pending,pending,LG,pending,SIN-UBICACION,ACQ30500853,,QR: ACQ30500853 | Qty registrada: 160,Sergio Torres,2026-05-06 14:04:55,2026-05-06 20:04:56
751,EMB-ENT-20260506-200535-643,349,349,ACQ30500851,160,160,0,-800,-640,pending,pending,LG,pending,SIN-UBICACION,ACQ30500851,,QR: ACQ30500851 | Qty registrada: 160,Sergio Torres,2026-05-06 14:05:34,2026-05-06 20:05:35
752,EMB-ENT-20260506-200544-520,319,319,ACQ30372828,40,40,0,36,76,VS,Display,LG,pending,SIN-UBICACION,ACQ30372828,,QR: ACQ30372828 | Qty registrada: 40,Sergio Torres,2026-05-06 14:05:43,2026-05-06 20:05:44
753,EMB-ENT-20260506-200558-577,317,317,ACQ30372826,158,158,0,-1133,-975,VS,Display,LG,pending,SIN-UBICACION,ACQ30372826,,QR: ACQ30372826 | Qty registrada: 158,Sergio Torres,2026-05-06 14:05:57,2026-05-06 20:05:58
756,EMB-ENT-20260506-202148-506,3,3,EBR82230426,198,198,0,-248,-50,OMEGA 7,PCB,LG,pending,SIN-UBICACION,EBR82230426,,QR: EBR82230426 | Qty registrada: 198,Sergio Torres,2026-05-06 14:21:46,2026-05-06 20:21:48
757,EMB-ENT-20260506-202933-635,133,133,ABQ75822467,157,157,0,-1605,-1448,RAPTOR,Case Display,LG,pending,SIN-UBICACION,ABQ75822467,,QR: ABQ75822467 | Qty registrada: 157,Sergio Torres,2026-05-06 14:29:31,2026-05-06 20:29:33
758,EMB-ENT-20260506-203231-248,236,236,EAD65948148,90,90,0,2858,2948,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 90,Sergio Torres,2026-05-06 14:32:30,2026-05-06 20:32:31
759,EMB-ENT-20260506-203741-391,236,236,EAD65948148,30,30,0,2948,2978,pending,pending,LG,pending,SIN-UBICACION,EAD65948148,,QR: EAD65948148 | Qty registrada: 30,Sergio Torres,2026-05-06 14:37:39,2026-05-06 20:37:41
