id,return_folio,inventory_id,catalog_id,part_number,return_quantity,loss_quantity,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reason,remarks,registered_by,movement_at,created_at
5,EMB-RET-20260504-173749-988,299,299,EBR41039152,33,0,-36,-3,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:37:49,2026-05-04 23:37:50
6,EMB-RET-20260504-173822-587,85,85,EBR80757422,28,0,-680,-652,QUANTUM-T,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:38:22,2026-05-04 23:38:22
7,EMB-RET-20260504-173839-348,88,88,EBR80757432,74,0,-452,-378,Quantum-T 20,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:38:39,2026-05-04 23:38:39
8,EMB-RET-20260504-173918-760,283,283,EBR33105505,45,0,-665,-620,VT,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:39:18,2026-05-04 23:39:18
9,EMB-RET-20260504-174053-129,284,284,EBR33828703,22,0,10,32,VT,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:40:53,2026-05-04 23:40:53
10,EMB-RET-20260504-174122-154,410,410,EBR23966221,171,0,-53,118,VF1_Better_L_MN,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:41:22,2026-05-04 23:41:22
11,EMB-RET-20260504-174136-192,398,398,EBR23966202,51,0,-50,1,VF,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:41:36,2026-05-04 23:41:36
12,EMB-RET-20260504-174152-359,397,397,EBR23966201,1,0,0,1,VF,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:41:52,2026-05-04 23:41:52
13,EMB-RET-20260504-174321-239,142,142,ABQ30226610,209,0,-141,68,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:43:21,2026-05-04 23:43:21
14,EMB-RET-20260504-174340-150,302,302,ACQ91411409,227,0,-600,-373,RAPTOR,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:43:40,2026-05-04 23:43:40
15,EMB-RET-20260504-174353-247,143,143,ABQ30226611,80,0,-80,0,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:43:53,2026-05-04 23:43:53
16,EMB-RET-20260504-174404-988,68,68,EBR37437072,10,0,13,23,24 VS6M J NP SINGLE I/MAKER MEXICO,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:44:04,2026-05-04 23:44:04
17,EMB-RET-20260504-174415-759,69,69,EBR37437073,20,0,0,20,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:44:15,2026-05-04 23:44:15
18,EMB-RET-20260504-174443-564,402,402,EBR23966207,20,0,-41,-21,VF1_Better_X,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:44:43,2026-05-04 23:44:43
19,EMB-RET-20260504-174510-461,294,294,EBR41039120,20,0,-245,-225,RAPTOR,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:45:10,2026-05-04 23:45:10
20,EMB-RET-20260504-174530-433,404,404,EBR23966209,13,0,-186,-173,VF1_Better_B_100V,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:45:30,2026-05-04 23:45:30
21,EMB-RET-20260504-174544-184,408,408,EBR23966213,13,0,-290,-277,VF3_Better_L_Single_USA,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:45:44,2026-05-04 23:45:44
22,EMB-RET-20260504-174610-289,96,96,EBR87463715,107,0,126,233,Raptor2 L Refresh,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:46:10,2026-05-04 23:46:10
23,EMB-RET-20260504-174643-736,332,332,ACQ30372849,80,0,-315,-235,RAPTOR,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:46:43,2026-05-04 23:46:43
24,EMB-RET-20260504-174658-335,24,24,EBR30299369,5,0,0,5,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:46:58,2026-05-04 23:46:59
25,EMB-RET-20260504-174717-634,343,343,ACQ30500837,80,0,0,80,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:47:17,2026-05-04 23:47:17
27,EMB-RET-20260504-174800-683,147,147,EBR83845048,55,0,-80,-25,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:48:00,2026-05-04 23:48:00
28,EMB-RET-20260504-174812-407,17,17,EBR30299362,30,0,-106,-76,RAPTOR,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:48:12,2026-05-04 23:48:12
29,EMB-RET-20260504-174835-127,134,134,ABQ75822468,5,0,-5,0,RAPTOR,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:48:35,2026-05-04 23:48:35
30,EMB-RET-20260504-174910-985,160,160,ABQ74229143,101,0,-27,74,MAJESTY,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:49:10,2026-05-04 23:49:10
31,EMB-RET-20260504-174930-375,157,157,ABQ74229140,65,0,-19,46,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:49:30,2026-05-04 23:49:30
32,EMB-RET-20260504-174948-193,154,154,ABQ74229133,119,0,-108,11,Mal Basic Disruptive Mexico,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:49:48,2026-05-04 23:49:48
33,EMB-RET-20260504-175013-911,409,409,EBR23966214,5,0,38,43,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:50:13,2026-05-04 23:50:13
34,EMB-RET-20260504-175028-795,333,333,ACQ30372850,13,0,0,13,RAPTOR,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:50:28,2026-05-04 23:50:28
35,EMB-RET-20260504-175041-158,347,347,ACQ30500847,9,0,-193,-184,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:50:41,2026-05-04 23:50:41
36,EMB-RET-20260504-175123-113,146,146,EBR83845046,21,0,-36,-15,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:51:23,2026-05-04 23:51:23
37,EMB-RET-20260504-175134-749,348,348,ACQ30500849,19,0,-2027,-2008,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:51:34,2026-05-04 23:51:34
38,EMB-RET-20260504-175146-874,12,12,EBR30299355,2,0,-241,-239,RAPTOR,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:51:46,2026-05-04 23:51:46
39,EMB-RET-20260504-175155-791,145,145,EBR83845044,5,0,-93,-88,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:51:55,2026-05-04 23:51:56
40,EMB-RET-20260504-175206-683,109,109,EBR86093798,9,0,34,43,Majesty1 L Single DI Colombia 115V,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:52:06,2026-05-04 23:52:06
41,EMB-RET-20260504-175303-844,95,95,EBR87463714,15,0,-100,-85,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:53:03,2026-05-04 23:53:03
42,EMB-RET-20260504-175322-334,570,570,ACQ91482496,9,0,-512,-503,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:53:22,2026-05-04 23:53:22
43,EMB-RET-20260504-175333-464,573,573,ACQ91482499,6,0,22,28,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:53:33,2026-05-04 23:53:33
44,EMB-RET-20260504-175422-975,158,158,ABQ74229141,11,0,-90,-79,Mal Instaview Only glass PNM STS F+I/M,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:54:22,2026-05-04 23:54:22
45,EMB-RET-20260504-175443-586,153,153,ABQ74229132,15,0,-120,-105,17 Mal Basic Ecuador,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:54:43,2026-05-04 23:54:43
46,EMB-RET-20260504-182440-997,405,405,EBR23966210,80,0,-55,25,VF1_Better_B_DI_100V,PCB MAIN,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 18:24:40,2026-05-05 00:24:40
47,EMB-RET-20260504-182452-998,296,296,EBR41039122,60,0,93,153,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 18:24:52,2026-05-05 00:24:52
48,EMB-RET-20260504-182509-342,133,133,ABQ75822467,41,0,-1532,-1491,RAPTOR,Case Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 18:25:09,2026-05-05 00:25:09
49,EMB-RET-20260504-183243-215,406,406,EBR23966211,14,0,-1099,-1085,VF3_W_USA,NULL,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:32:43,2026-05-05 00:32:43
50,EMB-RET-20260504-183303-752,405,405,EBR23966210,5,0,25,30,VF1_Better_B_DI_100V,PCB MAIN,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:33:03,2026-05-05 00:33:03
67,EMB-RET-20260504-184632-315,74,74,EBR37437078,3,0,-598,-595,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:46:32,2026-05-05 00:46:32
68,EMB-RET-20260504-184644-844,75,75,EBR37437079,1,0,-448,-447,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:46:44,2026-05-05 00:46:44
69,EMB-RET-20260504-184702-180,408,408,EBR23966213,1,0,-277,-276,VF3_Better_L_Single_USA,NULL,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:47:02,2026-05-05 00:47:02
70,EMB-RET-20260504-184716-403,153,153,ABQ74229132,1,0,-105,-104,17 Mal Basic Ecuador,Case Display,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:47:16,2026-05-05 00:47:16
71,EMB-RET-20260504-184726-904,157,157,ABQ74229140,2,0,46,48,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:47:26,2026-05-05 00:47:26
72,EMB-RET-20260504-184736-841,348,348,ACQ30500849,1,0,-2008,-2007,pending,pending,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:47:36,2026-05-05 00:47:36
73,EMB-RET-20260504-184746-132,350,350,ACQ30500853,1,0,-320,-319,pending,pending,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:47:46,2026-05-05 00:47:46
74,EMB-RET-20260504-184758-838,335,335,ACQ30372852,5,0,-160,-155,RAPTOR,Display,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:47:58,2026-05-05 00:47:58
75,EMB-RET-20260504-184808-378,18,18,EBR30299363,3,0,-505,-502,RAPTOR,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:48:08,2026-05-05 00:48:08
76,EMB-RET-20260504-184821-873,147,147,EBR83845048,1,0,-25,-24,MAJESTY,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:48:21,2026-05-05 00:48:21
77,EMB-RET-20260504-184831-619,298,298,EBR41039124,1,0,-352,-351,Raptor2 Q DI Mexico,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:48:31,2026-05-05 00:48:31
78,EMB-RET-20260504-184843-111,99,99,EBR87463760,2,0,-454,-452,Majesty1,PCB MAIN,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:48:43,2026-05-05 00:48:43
79,EMB-RET-20260504-184853-238,283,283,EBR33105505,5,0,-620,-615,VT,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:48:53,2026-05-05 00:48:53
80,EMB-RET-20260504-184909-301,84,84,EBR80757421,1,0,-856,-855,QUANTUM-T,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:49:09,2026-05-05 00:49:09
81,EMB-RET-20260504-184923-502,88,88,EBR80757432,2,0,-378,-376,Quantum-T 20,PCB,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:49:23,2026-05-05 00:49:23
82,EMB-RET-20260504-184934-532,570,570,ACQ91482496,4,0,-503,-499,pending,pending,LG,pending,,OS&D,,Rubi Garcia,2026-05-04 18:49:34,2026-05-05 00:49:34
83,EMB-RET-20260504-185035-813,299,299,EBR41039152,13,13,-3,-3,MAJESTY,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:50:35,2026-05-05 00:50:35
84,EMB-RET-20260504-185046-917,85,85,EBR80757422,8,8,-652,-652,QUANTUM-T,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:50:46,2026-05-05 00:50:46
85,EMB-RET-20260504-185059-936,88,88,EBR80757432,14,14,-376,-376,Quantum-T 20,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:50:59,2026-05-05 00:50:59
86,EMB-RET-20260504-185111-974,283,283,EBR33105505,5,5,-615,-615,VT,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:51:11,2026-05-05 00:51:11
87,EMB-RET-20260504-185133-870,284,284,EBR33828703,2,2,32,32,VT,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:51:33,2026-05-05 00:51:34
88,EMB-RET-20260504-185144-963,410,410,EBR23966221,1,1,118,118,VF1_Better_L_MN,NULL,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:51:44,2026-05-05 00:51:44
89,EMB-RET-20260504-185154-836,398,398,EBR23966202,1,1,1,1,VF,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:51:54,2026-05-05 00:51:55
90,EMB-RET-20260504-185205-426,397,397,EBR23966201,1,1,1,1,VF,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:52:05,2026-05-05 00:52:05
91,EMB-RET-20260504-185216-614,409,409,EBR23966214,5,5,43,43,pending,pending,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:52:16,2026-05-05 00:52:16
92,EMB-RET-20260504-185224-313,408,408,EBR23966213,3,3,-276,-276,VF3_Better_L_Single_USA,NULL,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:52:24,2026-05-05 00:52:25
93,EMB-RET-20260504-185234-820,404,404,EBR23966209,3,3,-173,-173,VF1_Better_B_100V,NULL,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:52:34,2026-05-05 00:52:34
94,EMB-RET-20260504-185249-500,333,333,ACQ30372850,13,13,13,13,RAPTOR,Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:52:49,2026-05-05 00:52:49
95,EMB-RET-20260504-185301-907,332,332,ACQ30372849,5,5,-235,-235,RAPTOR,Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:53:01,2026-05-05 00:53:01
96,EMB-RET-20260504-185311-188,347,347,ACQ30500847,9,9,-184,-184,pending,pending,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:53:11,2026-05-05 00:53:11
