part_number,product_model,customer,system_quantity,csv_current_qty,difference_quantity,applied_initial_quantity,current_before_recalc,entries_since_period_start,exits_since_period_start,return_entries_since_period_start,return_losses_since_period_start,new_current_quantity,status
10210AL-LHTB,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
299226608,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
35965-0290,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JB1410J,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JB1410P,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JB1439A,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JB2074G,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JK1005Q,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JK1005R,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JK1005S,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JK1005U,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JK1011G,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871JK2010A,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6871W1N010G,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6877JB1384M,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6877JB2040H,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
6877JB2040M,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ30226610,pending,LG,-209,749,958,749,-425,1315,1740,218,9,533,diferencia
ABQ30226611,pending,LG,-80,294,374,294,0,0,0,80,0,374,diferencia
ABQ73082001,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ73082002,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ73083818,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ74229132,17 Mal Basic Ecuador,LG,120,349,229,349,-164,0,330,62,16,65,diferencia
ABQ74229133,Mal Basic Disruptive Mexico,LG,-119,349,468,349,-109,281,420,178,29,359,diferencia
ABQ74229134,17 Mal Basic STS NA,LG,0,29,29,29,0,0,0,0,0,29,diferencia
ABQ74229139,Mal Instaview Only glass Mexico,LG,0,89,89,89,0,0,0,0,0,89,diferencia
ABQ74229140,Mal Instaview Only glass Mexico STS,LG,-67,271,338,271,-102,358,550,164,7,236,diferencia
ABQ74229141,Mal Instaview Only glass PNM STS F+I/M,LG,-90,70,160,70,-99,0,20,22,11,61,diferencia
ABQ74229142,Mal Instaview Only glass CLM MC F+I/M,LG,0,39,39,39,0,0,0,0,0,39,diferencia
ABQ74229143,MAJESTY,LG,-101,0,101,0,14,74,60,112,11,115,diferencia
ABQ74229144,MAJESTY,LG,0,157,157,157,0,0,0,0,0,157,diferencia
ABQ74229147,MAJESTY,LG,0,34,34,34,0,0,0,0,0,34,diferencia
ABQ75002401,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822401,QUANTUM-B,LG,0,35,35,35,0,0,0,0,0,35,diferencia
ABQ75822407,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822411,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822414,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822415,RAPTOR,LG,0,66,66,66,0,0,0,0,0,66,diferencia
ABQ75822416,RAPTOR,LG,0,111,111,111,0,0,0,0,0,111,diferencia
ABQ75822433,RAPTOR,LG,0,82,82,82,0,0,0,0,0,82,diferencia
ABQ75822434,RAPTOR,LG,0,54,54,54,0,0,0,0,0,54,diferencia
ABQ75822436,RAPTOR,LG,0,38,38,38,0,0,0,0,0,38,diferencia
ABQ75822437,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822438,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822439,QUANTUM-B,LG,0,168,168,168,0,0,0,0,0,168,diferencia
ABQ75822446,RAPTOR,LG,0,62,62,62,0,0,0,0,0,62,diferencia
ABQ75822447,QUANTUM-B,LG,0,50,50,50,0,0,0,0,0,50,diferencia
ABQ75822448,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822449,RAPTOR,LG,0,85,85,85,0,0,0,0,0,85,diferencia
ABQ75822452,QUANTUM-B,LG,0,98,98,98,0,0,0,0,0,98,diferencia
ABQ75822453,QUANTUM-B,LG,0,39,39,39,0,0,0,0,0,39,diferencia
ABQ75822454,RAPTOR,LG,120,388,268,388,-179,441,800,60,0,89,diferencia
ABQ75822455,RAPTOR,LG,0,51,51,51,0,0,0,0,0,51,diferencia
ABQ75822457,pending,LG,0,86,86,86,0,240,240,0,0,86,diferencia
ABQ75822458,pending,LG,0,54,54,54,-20,60,80,0,0,34,diferencia
ABQ75822459,RAPTOR,LG,0,42,42,42,0,0,0,0,0,42,diferencia
ABQ75822460,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822461,QUANTUM-B,LG,0,47,47,47,0,0,0,0,0,47,diferencia
ABQ75822462,pending,LG,0,43,43,43,0,0,0,0,0,43,diferencia
ABQ75822466,RAPTOR,LG,0,53,53,53,0,0,0,0,0,53,diferencia
ABQ75822467,RAPTOR,LG,-1532,137,1669,137,-1445,1566,1520,42,1,224,diferencia
ABQ75822468,RAPTOR,LG,-5,110,115,110,-80,280,360,5,0,35,diferencia
ABQ75822469,RAPTOR,LG,0,63,63,63,0,0,0,0,0,63,diferencia
ABQ75822470,RAPTOR,LG,0,52,52,52,0,0,0,0,0,52,diferencia
ABQ75822471,QUANTUM-B,LG,0,125,125,125,0,0,0,0,0,125,diferencia
ABQ75822472,QUANTUM-B,LG,0,77,77,77,0,0,0,0,0,77,diferencia
ABQ75822473,QUANTUM-B,LG,0,32,32,32,0,0,0,0,0,32,diferencia
ABQ75822474,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
ABQ75822475,RAPTOR,LG,0,22,22,22,0,0,0,0,0,22,diferencia
ACM55859001,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372801,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372802,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372804,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372805,VS,LG,0,15,15,15,0,0,0,0,0,15,diferencia
ACQ30372809,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372810,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372811,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372814,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372816,TAIWAN X,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372818,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372820,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372822,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372825,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372826,VS,LG,-251,970,1221,970,-435,1196,1380,0,0,786,diferencia
ACQ30372827,VS,LG,-10,256,266,256,-170,0,160,0,0,96,diferencia
ACQ30372828,VS,LG,57,37,-20,37,76,59,40,0,0,56,diferencia
ACQ30372829,VS,LG,-100,55,155,55,-145,10,55,0,0,10,diferencia
ACQ30372830,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372831,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372832,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372833,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372834,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372835,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372836,VS,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30372837,VS,LG,0,71,71,71,67,107,40,0,0,138,diferencia
ACQ30372839,VS,LG,-641,324,965,324,-855,400,614,0,0,110,diferencia
ACQ30372840,VS,LG,0,91,91,91,3,163,160,0,0,94,diferencia
ACQ30372841,VS,LG,0,36,36,36,0,0,0,0,0,36,diferencia
ACQ30372849,RAPTOR,LG,-315,372,687,372,-235,0,0,85,5,452,diferencia
ACQ30372850,RAPTOR,LG,-13,80,93,80,13,13,0,26,13,106,diferencia
ACQ30372851,RAPTOR,LG,-514,487,1001,487,-674,0,320,160,0,327,diferencia
ACQ30372852,RAPTOR,LG,-160,69,229,69,-155,0,0,10,5,74,diferencia
ACQ30372853,RAPTOR,LG,160,175,15,175,683,363,0,160,0,698,diferencia
ACQ30372860,RAPTOR,LG,0,3,3,3,0,0,0,0,0,3,diferencia
ACQ30372866,VS,LG,0,314,314,314,-280,80,360,0,0,34,diferencia
ACQ30372868,VS,LG,0,53,53,53,0,0,0,0,0,53,diferencia
ACQ30372869,pending,LG,19,258,239,258,-31,10,60,0,0,208,diferencia
ACQ30372870,pending,LG,0,120,120,120,0,0,0,0,0,120,diferencia
ACQ30449601,pending,LG,0,2,2,2,0,0,0,0,0,2,diferencia
ACQ30449602,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30449603,pending,LG,0,10,10,10,0,0,0,0,0,10,diferencia
ACQ30449604,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30449605,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30449606,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30449607,pending,LG,0,145,145,145,0,0,0,0,0,145,diferencia
ACQ30449609,pending,LG,0,109,109,109,0,0,0,0,0,109,diferencia
ACQ30500836,pending,LG,0,80,80,80,0,0,0,0,0,80,diferencia
ACQ30500837,pending,LG,-80,556,636,556,134,134,0,80,0,770,diferencia
ACQ30500839,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ30500842,pending,LG,20,41,21,41,0,80,100,0,0,21,diferencia
ACQ30500846,pending,LG,-280,213,493,213,-280,0,0,0,0,213,diferencia
ACQ30500847,pending,LG,-235,42,277,42,-184,42,0,18,9,93,diferencia
ACQ30500849,pending,LG,-1327,700,2027,700,-2007,0,700,40,20,20,diferencia
ACQ30500849-M,VF,LG,0,10000,10000,10000,-1344,0,1344,0,0,8656,diferencia
ACQ30500851,pending,LG,-480,609,1089,609,-920,160,600,0,0,169,diferencia
ACQ30500853,pending,LG,-320,149,469,149,-528,880,1089,2,1,-59,diferencia
ACQ33351008,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ35835929,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ36835915,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ36835926,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ37160701,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ37160705,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ75432132,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ76909302,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ76909305,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ76909401,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ76909402,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ83112501,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ83112505,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ83112506,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ83112507,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ83112512,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ83112513,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ85448512,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ85448513,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86045303,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86045304,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86045305,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86045309,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86045312,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86045314,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ86350309,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420601,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420603,pending,LG,0,1,1,1,0,0,0,0,0,1,diferencia
ACQ87420604,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420606,pending,LG,0,40,40,40,0,0,0,0,0,40,diferencia
ACQ87420613,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420614,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420615,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420616,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420620,pending,LG,0,5,5,5,0,0,0,0,0,5,diferencia
ACQ87420621,pending,LG,0,23,23,23,0,0,0,0,0,23,diferencia
ACQ87420622,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420623,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ87420624,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91411409,RAPTOR,LG,-600,144,744,144,-373,0,0,254,27,371,diferencia
ACQ91411410,RAPTOR,LG,0,54,54,54,0,0,0,0,0,54,diferencia
ACQ91482409,RAPTOR,LG,0,45,45,45,-39,0,39,0,0,6,diferencia
ACQ91482410,RAPTOR,LG,0,156,156,156,0,0,0,0,0,156,diferencia
ACQ91482411,RAPTOR,LG,0,39,39,39,0,0,0,0,0,39,diferencia
ACQ91482452,RAPTOR,LG,0,2,2,2,0,0,0,0,0,2,diferencia
ACQ91482459,RAPTOR,LG,0,2,2,2,0,0,0,0,0,2,diferencia
ACQ91482463,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482464,pending,LG,0,12,12,12,0,0,0,0,0,12,diferencia
ACQ91482466,MAJESTY,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482467,MAJESTY,LG,0,110,110,110,0,0,0,0,0,110,diferencia
ACQ91482468,MAJESTY,LG,0,2,2,2,0,0,0,0,0,2,diferencia
ACQ91482469,MAJESTY,LG,0,14,14,14,0,0,0,0,0,14,diferencia
ACQ91482470,MAJESTY,LG,0,2,2,2,0,0,0,0,0,2,diferencia
ACQ91482471,MAJESTY,LG,0,134,134,134,0,0,0,0,0,134,diferencia
ACQ91482472,MAJESTY,LG,0,6,6,6,0,0,0,0,0,6,diferencia
ACQ91482473,MAJESTY,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482474,MAJESTY,LG,0,10,10,10,0,0,0,0,0,10,diferencia
ACQ91482475,MAJESTY,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482475-2,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482476,MAJESTY,LG,-51,24,75,24,-41,0,0,10,0,34,diferencia
ACQ91482480,MAJESTY,LG,1,31,30,31,1,0,0,0,0,31,diferencia
ACQ91482482,pending,LG,0,1,1,1,0,0,0,0,0,1,diferencia
ACQ91482483,MAJESTY,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482484,MAJESTY,LG,-28,83,111,83,-19,0,1,10,0,92,diferencia
ACQ91482486,RAPTOR,LG,0,162,162,162,0,0,0,0,0,162,diferencia
ACQ91482495,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482496,pending,LG,-262,370,632,370,-489,420,810,176,13,143,diferencia
ACQ91482497,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
ACQ91482498,pending,LG,0,23,23,23,0,0,0,0,0,23,diferencia
ACQ91482499,pending,LG,16,210,194,210,28,6,0,12,6,222,diferencia
AJJ30036901,pending,LG,950,950,0,950,258,0,692,0,0,258,igual
AJJ30036902,pending,LG,41,42,1,42,41,0,0,0,0,42,diferencia
AJJ30036903,pending,LG,0,1,1,1,0,0,0,0,0,1,diferencia
AJJ30036904,Oven,LG,40,40,0,40,40,0,0,0,0,40,igual
CINTAS COTTON,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
CINTAS COTTON DELGADO,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576601,pending,LG,-60,94,154,94,-60,0,0,0,0,94,diferencia
EAD00576601-M,pending,LG,0,903,903,903,0,0,0,0,0,903,diferencia
EAD00576602,pending,LG,-65,30,95,30,-65,0,0,0,0,30,diferencia
EAD00576602-M,pending,LG,0,3294,3294,3294,0,0,0,0,0,3294,diferencia
EAD00576603,pending,LG,501,260,-241,260,501,0,0,0,0,260,diferencia
EAD00576603-M,pending,LG,0,168,168,168,0,0,0,0,0,168,diferencia
EAD00576604,pending,LG,701,282,-419,282,521,330,510,0,0,102,diferencia
EAD00576604-M,pending,LG,0,1036,1036,1036,-390,0,390,0,0,646,diferencia
EAD00576605,pending,LG,80,65,-15,65,80,0,0,0,0,65,diferencia
EAD00576605-M,pending,LG,0,750,750,750,0,0,0,0,0,750,diferencia
EAD00576606,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576606-M,VF,LG,0,5,5,5,0,0,0,0,0,5,diferencia
EAD00576607,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576607-M,VF,LG,0,3,3,3,0,0,0,0,0,3,diferencia
EAD00576608,pending,LG,0,46,46,46,0,0,0,0,0,46,diferencia
EAD00576608-M,pending,LG,0,1161,1161,1161,0,0,0,0,0,1161,diferencia
EAD00576609,pending,LG,0,10,10,10,0,0,0,0,0,10,diferencia
EAD00576609-M,pending,LG,0,5845,5845,5845,0,0,0,0,0,5845,diferencia
EAD00576610,pending,LG,2835,459,-2376,459,2674,1568,1729,0,0,298,diferencia
EAD00576610-M,pending,LG,0,9220,9220,9220,-516,0,516,0,0,8704,diferencia
EAD00576611,pending,LG,360,97,-263,97,353,602,609,0,0,90,diferencia
EAD00576611-M,pending,LG,0,2961,2961,2961,-690,0,690,0,0,2271,diferencia
EAD00576612,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576612-M,VF,LG,0,15,15,15,0,0,0,0,0,15,diferencia
EAD00576613,pending,LG,20,20,0,20,23,105,102,0,0,23,igual
EAD00576613-M,VF,LG,0,491,491,491,-105,0,105,0,0,386,diferencia
EAD00576619,VF,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576619-M,VF,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576620,VF,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576620-M,VF,LG,0,37,37,37,0,0,0,0,0,37,diferencia
EAD00576621,VF,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD00576621-M,VF,LG,0,37,37,37,0,0,0,0,0,37,diferencia
EAD59672201,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD60703961,pending,LG,0,1447,1447,1447,0,0,0,0,0,1447,diferencia
EAD60704031,pending,LG,-1600,4600,6200,4600,-2400,0,800,0,0,3800,diferencia
EAD60726101,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD60951706,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD60951707,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD61045502,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD61211603,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD61305811,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD62469107,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD62469113,pending,LG,-2250,6118,8368,6118,-780,0,250,1720,0,7588,diferencia
EAD62487410,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD62487413,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD62765409,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63027401,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63050441,pending,LG,0,3500,3500,3500,0,0,0,0,0,3500,diferencia
EAD63050450,pending,LG,0,4320,4320,4320,-2850,0,2850,0,0,1470,diferencia
EAD63766801,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766803,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766805,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766808,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766811,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766814,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766819,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766822,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766901,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766902,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766906,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766908,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766909,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766913,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63766914,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767003,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767005,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767006,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767011,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767014,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767016,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767022,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767024,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767025,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767027,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767029,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767030,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767101,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767102,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767103,pending,LG,0,5,5,5,0,0,0,0,0,5,diferencia
EAD63767106,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767109,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767110,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767112,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63767819,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63850103,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63911331,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63911408,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63911604,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63911605,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD63954201,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD64168627,pending,LG,0,8,8,8,0,0,0,0,0,8,diferencia
EAD64168633,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65345135,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65345155,pending,LG,0,5189,5189,5189,0,0,0,0,0,5189,diferencia
EAD65345165,pending,LG,0,8004,8004,8004,-7001,0,7001,0,0,1003,diferencia
EAD65568412,pending,LG,-4500,9516,14016,9516,-8000,0,3500,0,0,6016,diferencia
EAD65894102,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894103,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894104,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894105,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894107,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894108,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894109,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894110,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894111,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894112,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894113,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894114,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894115,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894116,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894118,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894119,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894120,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894121,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894122,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894123,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894124,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894301,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894302,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894303,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894304,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894305,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894306,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894308,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894309,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894310,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894311,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EAD65894312,pending,LG,-600,10832,11432,10832,-5800,0,5200,0,0,5632,diferencia
